20.00	-23.59
20.27	-23.17
20.55	-22.74
20.83	-22.28
21.11	-21.84
21.40	-21.38
21.69	-20.92
21.98	-20.47
22.28	-20.01
22.59	-19.55
22.89	-19.10
23.21	-18.64
23.52	-18.19
23.84	-17.73
24.17	-17.28
24.50	-16.81
24.83	-16.35
25.17	-15.89
25.51	-15.43
25.86	-14.97
26.21	-14.52
26.57	-14.07
26.93	-13.63
27.29	-13.20
27.66	-12.77
28.04	-12.33
28.42	-11.90
28.81	-11.47
29.20	-11.05
29.60	-10.67
30.00	-10.32
30.41	-9.97
30.82	-9.61
31.24	-9.27
31.67	-8.91
32.10	-8.56
32.54	-8.26
32.98	-7.97
33.43	-7.68
33.88	-7.39
34.35	-7.11
34.81	-6.82
35.29	-6.55
35.77	-6.30
36.25	-6.05
36.75	-5.81
37.25	-5.56
37.75	-5.31
38.27	-5.07
38.79	-4.84
39.32	-4.60
39.85	-4.37
40.39	-4.14
40.94	-3.90
41.50	-3.67
42.07	-3.44
42.64	-3.20
43.22	-2.96
43.81	-2.73
44.40	-2.49
45.01	-2.25
45.62	-2.01
46.24	-1.76
46.87	-1.52
47.51	-1.27
48.15	-1.02
48.81	-0.76
49.47	-0.51
50.15	-0.26
50.83	-0.02
51.52	0.22
52.22	0.46
52.93	0.69
53.65	0.88
54.38	1.06
55.12	1.24
55.87	1.40
56.63	1.50
57.41	1.59
58.19	1.68
58.98	1.73
59.78	1.76
60.60	1.79
61.42	1.81
62.26	1.84
63.10	1.87
63.96	1.89
64.83	1.94
65.71	1.99
66.61	2.05
67.52	2.12
68.43	2.18
69.37	2.24
70.31	2.31
71.27	2.37
72.24	2.43
73.22	2.49
74.22	2.54
75.23	2.59
76.25	2.65
77.29	2.70
78.34	2.74
79.41	2.78
80.49	2.82
81.58	2.85
82.69	2.86
83.82	2.87
84.96	2.86
86.12	2.83
87.29	2.78
88.48	2.71
89.68	2.63
90.90	2.53
92.14	2.43
93.39	2.31
94.66	2.19
95.95	2.07
97.26	1.95
98.58	1.82
99.92	1.70
101.28	1.59
102.66	1.49
104.06	1.41
105.47	1.33
106.91	1.27
108.36	1.21
109.84	1.14
111.33	1.07
112.85	0.97
114.38	0.88
115.94	0.79
117.52	0.71
119.12	0.64
120.74	0.57
122.38	0.50
124.05	0.43
125.74	0.35
127.45	0.28
129.18	0.21
130.94	0.15
132.72	0.09
134.53	0.03
136.36	-0.03
138.22	-0.10
140.10	-0.17
142.00	-0.23
143.94	-0.30
145.90	-0.37
147.88	-0.44
149.89	-0.51
151.93	-0.57
154.00	-0.61
156.10	-0.66
158.22	-0.71
160.38	-0.76
162.56	-0.81
164.77	-0.86
167.01	-0.93
169.29	-1.00
171.59	-1.09
173.93	-1.17
176.29	-1.24
178.69	-1.30
181.12	-1.35
183.59	-1.40
186.09	-1.44
188.62	-1.47
191.19	-1.50
193.79	-1.55
196.43	-1.60
199.10	-1.65
201.81	-1.71
204.56	-1.76
207.34	-1.83
210.16	-1.89
213.02	-1.95
215.92	-2.01
218.86	-2.08
221.84	-2.15
224.86	-2.23
227.92	-2.28
231.02	-2.33
234.17	-2.39
237.35	-2.43
240.58	-2.45
243.86	-2.43
247.18	-2.38
250.54	-2.32
253.95	-2.27
257.41	-2.22
260.91	-2.21
264.46	-2.23
268.06	-2.27
271.71	-2.33
275.41	-2.38
279.15	-2.41
282.95	-2.40
286.80	-2.35
290.71	-2.27
294.66	-2.20
298.67	-2.16
302.74	-2.15
